4.8	212		187		0		0		0		0		0		2692		1298		939		803		
4.85	198		189		0		0		0		0		0		3323		1394		998		826		
4.9	208		199		0		0		0		0		0		6028		1475		1060		846		
4.95	210		193		0		0		0		0		0		3136		1697		1093		859		
5	189		50		0		0		0		0		0		0		1749		1115		842		
5.05	203		0		0		0		0		0		0		0		1964		1141		914		
5.1	204		0		0		0		0		0		0		0		2149		1288		934		
5.15	216		0		0		0		0		0		0		0		2561		1334		963		
5.2	204		0		0		0		0		0		0		0		3263		1400		1004		
5.25	197		0		0		0		0		0		0		0		5570		1404		1005		
5.3	171		0		0		0		0		0		0		0		3941		1607		1067		
5.35	164		0		0		0		0		0		0		0		0		1683		1077		
5.4	0		0		0		0		0		0		0		0		0		1815		1086		
5.45	0		0		0		0		0		0		0		0		0		2021		1232		
5.5	0		0		0		0		0		0		0		0		0		2474		1298		
5.55	0		0		0		0		0		0		0		0		0		3003		1298		
5.6	0		0		0		0		0		0		0		0		0		4865		1460		
5.65	0		0		0		0		0		0		0		0		0		5351		1599		
5.7	0		0		0		0		0		0		0		0		0		0		1754		
5.75	0		0		0		0		0		0		0		0		0		0		1800		
5.8	0		0		0		0		0		0		0		0		0		0		1966		
5.85	0		0		0		0		0		0		0		0		0		0		2341		
5.9	0		0		0		0		0		0		0		0		0		0		2912		
5.95	0		0		0		0		0		0		0		0		0		0		0		
