0	809		728		682		638		561		496		462		437		408		398		360		
0.05	742		711		670		572		535		579		471		460		438		401		351		
0.1	818		739		655		588		503		531		477		461		440		439		383		
0.15	782		722		675		572		586		531		522		503		449		413		373		
0.2	782		699		677		599		564		481		506		438		450		399		385		
0.25	755		755		640		631		563		546		478		449		431		414		406		
0.3	842		755		682		635		615		549		500		470		463		395		374		
0.35	840		760		681		663		568		539		539		461		444		378		375		
0.4	816		729		694		638		570		529		510		481		428		418		396		
0.45	814		782		659		638		602		545		507		483		441		397		395		
0.5	868		733		668		658		610		555		479		489		481		422		411		
0.55	810		767		713		628		668		578		523		454		424		399		398		
0.6	910		737		708		635		614		605		487		507		448		437		381		
0.65	925		744		728		648		612		562		520		489		448		456		391		
0.7	814		796		727		671		581		596		516		510		472		402		391		
0.75	911		828		742		686		636		602		552		499		448		438		375		
0.8	916		824		734		699		655		590		543		503		504		446		372		
0.85	966		846		757		692		630		580		518		477		407		410		417		
0.9	905		866		730		710		622		587		507		542		463		412		440		
0.95	909		842		782		706		684		573		573		514		471		422		416		
1	939		819		760		720		682		628		530		546		493		468		401		
1.05	969		883		841		702		627		658		582		515		455		453		430		
1.1	993		870		803		764		660		606		565		523		479		444		403		
1.15	998		921		819		730		688		620		565		515		510		472		419		
1.2	1019		907		824		765		714		662		559		532		500		442		404		
1.25	1061		954		862		729		682		639		566		531		522		468		442		
1.3	1062		909		800		717		710		609		607		494		491		506		433		
1.35	1108		943		859		741		706		607		607		521		498		451		446		
1.4	1122		975		904		796		664		692		562		582		502		465		438		
1.45	1111		1058		854		799		709		687		603		550		489		492		419		
1.5	1160		975		902		813		703		704		624		580		475		484		436		
1.55	1177		974		881		789		714		692		602		537		507		466		422		
1.6	1152		1022		958		751		740		656		625		558		540		467		307		
1.65	1199		1034		960		811		784		657		655		602		550		425		293		
1.7	1242		1056		975		807		719		698		649		580		549		469		324		
1.75	1274		1044		971		853		760		690		660		596		551		463		301		
1.8	1317		1151		1005		804		752		657		640		575		513		484		279		
1.85	1307		1071		968		851		809		748		620		568		565		467		337		
1.9	1397		1230		990		859		808		727		612		552		527		477		320		
1.95	1412		1182		1074		894		872		746		648		595		521		423		275		
2	1525		1213		1051		905		785		744		641		588		574		344		322		
2.05	1496		1234		959		927		809		766		696		632		594		373		315		
2.1	1531		1273		1049		926		803		702		684		621		549		370		340		
2.15	1763		1331		1045		945		826		703		691		629		586		353		297		
2.2	1845		1334		1112		1042		827		790		649		628		546		370		334		
2.25	1851		1421		1152		969		827		764		697		636		597		395		338		
2.3	2004		1428		1231		985		861		792		679		644		566		370		362		
2.35	2159		1548		1224		982		901		808		696		586		436		400		343		
2.4	2478		1521		1236		1085		897		832		727		699		442		377		353		
2.45	2692		1648		1330		1095		894		789		765		656		414		395		387		
2.5	3148		1741		1313		1122		958		774		779		616		453		426		390		
2.55	4393		1822		1380		1055		946		817		746		644		422		394		374		
2.6	8621		1968		1389		1137		1009		838		750		674		459		404		356		
2.65	265		2124		1482		1227		1003		834		780		700		465		441		379		
2.7	249		2363		1491		1196		979		909		777		674		451		425		408		
2.75	243		2681		1537		1234		1078		895		780		487		511		420		365		
2.8	262		3023		1638		1238		1073		922		808		539		516		451		387		
2.85	253		3946		1805		1283		1086		929		789		615		495		472		392		
2.9	261		7501		1844		1415		1096		940		828		549		473		470		414		
2.95	258		2447		2051		1421		1106		951		809		548		490		471		372		
3	271		226		2273		1494		1165		1002		849		568		553		468		393		
3.05	228		225		2450		1520		1123		1033		848		614		509		525		470		
3.1	216		250		2868		1596		1266		953		752		568		562		490		442		
3.15	246		223		3532		1708		1271		1036		745		630		525		493		440		
3.2	254		241		5129		1745		1283		1039		691		632		537		475		468		
3.25	232		232		6010		1887		1322		1036		788		684		566		464		474		
3.3	233		204		195		2041		1415		1112		738		646		561		511		497		
3.35	227		227		235		2243		1468		1149		780		684		575		544		437		
3.4	225		231		222		2615		1541		1165		864		661		604		526		459		
3.45	211		223		214		3122		1599		1170		868		715		582		559		505		
3.5	250		212		218		4083		1695		1084		893		714		603		530		463		
3.55	225		206		184		8986		1771		1112		853		729		610		530		459		
3.6	231		217		197		218		1940		1182		920		737		637		560		496		
3.65	276		200		204		173		2161		1262		891		761		648		581		491		
3.7	231		235		211		186		2384		1277		1016		794		667		604		480		
3.75	245		207		200		202		2713		1329		1023		772		709		561		559		
3.8	238		221		201		197		3429		1418		1058		823		741		607		510		
3.85	232		224		224		198		4557		1506		1137		894		726		582		534		
3.9	209		215		193		180		6637		1718		1051		927		741		616		553		
3.95	210		205		190		179		0		1852		1150		898		736		623		553		
4	223		225		203		219		0		2005		1220		945		745		647		562		
4.05	230		197		192		205		0		2296		1223		987		776		637		568		
4.1	252		208		173		200		0		2595		1373		984		794		670		570		
4.15	215		235		221		202		0		3297		1392		1036		856		701		584		
4.2	224		196		184		197		1		5246		1518		1122		824		708		588		
4.25	224		203		201		13		0		4635		1617		1144		862		738		595		
4.3	202		193		183		0		0		0		1810		1142		979		729		610		
4.35	210		189		208		0		0		0		1979		1216		971		733		646		
4.4	225		212		193		0		0		0		2289		1249		953		748		680		
4.45	191		196		204		0		0		0		2696		1357		953		794		661		
4.5	209		206		187		0		0		0		3434		1444		1016		822		711		
4.55	246		220		193		0		0		0		6028		1545		1108		851		680		
4.6	225		213		110		0		0		0		3456		1632		1132		901		684		
4.65	207		224		0		0		0		0		0		1784		1185		917		713		
4.7	212		207		0		0		0		0		0		1921		1145		923		743		
4.75	205		180		0		0		0		0		0		2254		1249		968		814		
