0.111111	3.68674
0.222222	3.99913
0.333333	4.25496
0.444444	4.47192
0.555556	4.65974
0.666667	4.82449
0.777778	4.97027
0.888889	5.10004
1	5.31977
1.11111	5.41274
1.22222	5.49591
1.33333	5.57016
1.44444	5.63617
1.55556	5.69451
1.66667	5.74566
1.77778	5.79
1.88889	5.82784
2	5.85946
2.11111	5.88506
2.22222	5.90481
2.33333	5.91883
2.44444	5.92721
2.66667	5.92721
2.77778	5.91883
2.88889	5.90481
3	5.88506
3.11111	5.85946
3.22222	5.82784
3.33333	5.79
3.44444	5.74566
3.55556	5.69451
3.66667	5.63617
3.77778	5.57016
3.88889	5.49591
4	5.41274
4.11111	5.31977
4.22222	5.21598
4.33333	5.10004
4.44444	4.97027
4.55556	4.65974
4.66667	4.47192
4.77778	3.99913
4.88889	3.68674
