0.111111	3.59534
0.222222	3.91584
0.333333	4.17616
0.444444	4.39591
0.555556	4.58557
0.666667	4.75159
0.777778	4.89828
0.888889	5.02869
1	5.24922
1.11111	5.34242
1.22222	5.42576
1.33333	5.50012
1.44444	5.56621
1.55556	5.6246
1.66667	5.67577
1.77778	5.72012
1.88889	5.75797
2	5.78958
2.11111	5.81518
2.22222	5.83492
2.33333	5.84893
2.44444	5.85731
2.66667	5.85731
2.77778	5.84893
2.88889	5.83492
3	5.81518
3.11111	5.78958
3.22222	5.75797
3.33333	5.72012
3.44444	5.67577
3.55556	5.6246
3.66667	5.56621
3.77778	5.50012
3.88889	5.42576
4	5.34242
4.11111	5.24922
4.22222	5.14509
4.33333	5.02869
4.44444	4.89828
4.55556	4.58557
4.66667	4.39591
4.77778	3.91584
4.88889	3.59534
