2.76	1373		3838		0		0		0		18006		
2.78	1396		4105		0		0		0		18630		
2.8	1402		3909		0		0		0		18812		
2.82	1454		4035		0		0		0		19326		
2.84	1417		4073		0		0		0		9349		
2.86	1472		4114		0		0		0		0		
2.88	1489		4140		0		0		0		0		
2.9	1487		4255		0		0		0		0		
2.92	1506		4354		0		0		0		0		
2.94	1518		4354		0		0		0		0		
2.96	1483		4483		0		0		0		0		
2.98	1514		4427		0		0		0		0		
3	1546		4602		0		0		0		0		
3.02	1511		4590		0		0		0		0		
3.04	1577		4696		0		0		0		0		
3.06	1633		4878		0		0		0		0		
3.08	1610		4795		0		0		0		0		
3.1	1615		4792		0		0		0		0		
3.12	1659		4913		0		0		0		0		
3.14	1671		5069		0		0		0		0		
3.16	1677		5157		0		0		0		0		
3.18	1747		5181		0		0		0		0		
3.2	1644		5175		0		0		0		0		
3.22	1754		5361		0		0		0		0		
3.24	1747		5440		0		0		0		0		
3.26	1716		5533		0		0		0		0		
3.28	1738		5666		0		0		0		0		
3.3	1717		5693		0		0		0		0		
3.32	1827		5803		0		0		0		0		
3.34	1782		5833		0		0		0		0		
3.36	1797		5880		0		0		0		0		
3.38	1895		5987		0		0		0		0		
3.4	1848		6205		0		0		0		0		
3.42	1871		6290		0		0		0		0		
3.44	1892		6420		0		0		0		0		
3.46	1891		6508		0		0		0		0		
3.48	1923		6567		0		0		0		0		
3.5	1807		6557		0		0		0		0		
3.52	1979		6789		0		0		0		0		
3.54	1964		6852		0		0		0		0		
3.56	2062		6949		0		0		0		0		
3.58	1965		7340		0		0		0		0		
3.6	2126		7473		0		0		0		0		
3.62	2004		7478		0		0		0		0		
3.64	2038		7511		0		0		0		0		
3.66	2135		7805		0		0		0		0		
3.68	2056		8207		0		0		0		0		
3.7	2184		7983		0		0		0		0		
3.72	2129		8144		0		0		0		0		
3.74	2140		8419		0		0		0		0		
3.76	2191		8666		0		0		0		0		
3.78	2247		8768		0		0		0		0		
3.8	2171		8992		0		0		0		0		
3.82	2265		9334		0		0		0		0		
3.84	2307		9435		0		0		0		0		
3.86	2435		9681		0		0		0		0		
3.88	2261		9878		0		0		0		0		
3.9	2262		10167		0		0		0		0		
3.92	2337		10286		0		0		0		0		
3.94	2352		10873		0		0		0		0		
3.96	2374		11055		0		0		0		0		
3.98	2407		11143		0		0		0		0		
4	2458		11624		0		0		0		0		
4.02	2414		12207		0		0		0		0		
4.04	2501		12415		0		0		0		0		
4.06	2562		12725		0		0		0		0		
4.08	2607		13027		0		0		0		0		
4.1	2529		13888		0		0		0		0		
4.12	2613		14241		0		0		0		0		
4.14	2610		14708		0		0		0		0		
4.16	2703		15199		0		0		0		0		
4.18	2713		16086		0		0		0		0		
4.2	2820		16588		0		0		0		0		
4.22	2685		17426		0		0		0		0		
4.24	2796		18303		0		0		0		0		
4.26	2745		19153		0		0		0		0		
4.28	2802		19952		0		0		0		0		
4.3	2827		21308		0		0		0		0		
4.32	2798		22244		0		0		0		0		
4.34	2907		23815		0		0		0		0		
4.36	3011		25658		0		0		0		0		
4.38	2955		27814		0		0		0		0		
4.4	2994		26143		0		0		0		0		
4.42	2973		0		0		0		0		0		
4.44	2979		0		0		0		0		0		
4.46	3153		0		0		0		0		0		
4.48	3118		0		0		0		0		0		
4.5	3054		0		0		0		0		0		
4.52	3178		0		0		0		0		0		
4.54	3161		0		0		0		0		0		
4.56	3215		0		0		0		0		0		
4.58	3273		0		0		0		0		0		
4.6	3313		0		0		0		0		0		
4.62	3512		0		0		0		0		0		
4.64	3385		0		0		0		0		0		
4.66	3379		0		0		0		0		0		
4.68	3441		0		0		0		0		0		
4.7	3390		0		0		0		0		0		
4.72	3570		0		0		0		0		0		
4.74	3608		0		0		0		0		0		
4.76	3634		0		0		0		0		0		
4.78	3754		0		0		0		0		0		
4.8	3643		0		0		0		0		0		
4.82	3840		0		0		0		0		0		
4.84	3712		0		0		0		0		0		
4.86	3767		0		0		0		0		0		
4.88	3771		0		0		0		0		0		
4.9	3943		0		0		0		0		0		
4.92	3941		0		0		0		0		0		
4.94	3996		0		0		0		0		0		
4.96	3996		0		0		0		0		0		
4.98	4143		0		0		0		0		0		
5	4217		0		0		0		0		0		
5.02	4127		0		0		0		0		0		
5.04	4212		0		0		0		0		0		
5.06	4115		0		0		0		0		0		
5.08	4384		0		0		0		0		0		
5.1	4477		0		0		0		0		0		
5.12	4477		0		0		0		0		0		
5.14	4647		0		0		0		0		0		
5.16	4553		0		0		0		0		0		
5.18	4627		0		0		0		0		0		
5.2	4720		0		0		0		0		0		
5.22	4834		0		0		0		0		0		
5.24	4785		0		0		0		0		0		
5.26	4914		0		0		0		0		0		
5.28	4908		0		0		0		0		0		
5.3	5269		0		0		0		0		0		
5.32	5268		0		0		0		0		0		
5.34	5196		0		0		0		0		0		
5.36	5398		0		0		0		0		0		
5.38	5435		0		0		0		0		0		
5.4	5486		0		0		0		0		0		
5.42	5646		0		0		0		0		0		
5.44	5709		0		0		0		0		0		
5.46	5741		0		0		0		0		0		
5.48	5853		0		0		0		0		0		
5.5	5978		0		0		0		0		0		
5.52	5901		0		0		0		0		0		
5.54	6150		0		0		0		0		0		
5.56	6104		0		0		0		0		0		
5.58	6351		0		0		0		0		0		
5.6	6429		0		0		0		0		0		
5.62	6577		0		0		0		0		0		
5.64	6633		0		0		0		0		0		
5.66	6698		0		0		0		0		0		
5.68	6922		0		0		0		0		0		
5.7	7084		0		0		0		0		0		
5.72	7104		0		0		0		0		0		
5.74	7285		0		0		0		0		0		
5.76	7473		0		0		0		0		0		
5.78	7528		0		0		0		0		0		
5.8	7795		0		0		0		0		0		
5.82	7972		0		0		0		0		0		
5.84	8088		0		0		0		0		0		
5.86	8338		0		0		0		0		0		
5.88	8493		0		0		0		0		0		
5.9	8690		0		0		0		0		0		
5.92	8736		0		0		0		0		0		
5.94	9053		0		0		0		0		0		
5.96	9293		0		0		0		0		0		
5.98	9591		0		0		0		0		0		
6	9704		0		0		0		0		0		
6.02	10101		0		0		0		0		0		
6.04	10503		0		0		0		0		0		
6.06	10625		0		0		0		0		0		
6.08	11062		0		0		0		0		0		
6.1	11346		0		0		0		0		0		
6.12	11849		0		0		0		0		0		
6.14	12169		0		0		0		0		0		
6.16	12568		0		0		0		0		0		
6.18	13250		0		0		0		0		0		
6.2	13765		0		0		0		0		0		
6.22	14211		0		0		0		0		0		
6.24	14953		0		0		0		0		0		
6.26	15496		0		0		0		0		0		
6.28	16304		0		0		0		0		0		
6.3	17092		0		0		0		0		0		
6.32	18159		0		0		0		0		0		
6.34	18802		0		0		0		0		0		
6.36	20204		0		0		0		0		0		
6.38	21829		0		0		0		0		0		
6.4	23205		0		0		0		0		0		
6.42	20956		0		0		0		0		0		
6.44	0		0		0		0		0		0		
6.46	0		0		0		0		0		0		
6.48	0		0		0		0		0		0		
6.5	0		0		0		0		0		0		
6.52	0		0		0		0		0		0		
6.54	0		0		0		0		0		0		
6.56	0		0		0		0		0		0		
6.58	0		0		0		0		0		0		
6.6	0		0		0		0		0		0		
6.62	0		0		0		0		0		0		
6.64	0		0		0		0		0		0		
6.66	0		0		0		0		0		0		
6.68	0		0		0		0		0		0		
6.7	0		0		0		0		0		0		
6.72	0		0		0		0		0		0		
6.74	0		0		0		0		0		0		
6.76	0		0		0		0		0		0		
6.78	0		0		0		0		0		0		
6.8	0		0		0		0		0		0		
6.82	0		0		0		0		0		0		
6.84	0		0		0		0		0		0		
6.86	0		0		0		0		0		0		
6.88	0		0		0		0		0		0		
6.9	0		0		0		0		0		0		
6.92	0		0		0		0		0		0		
6.94	0		0		0		0		0		0		
6.96	0		0		0		0		0		0		
6.98	0		0		0		0		0		0		
7	0		0		0		0		0		0		
7.02	0		0		0		0		0		0		
7.04	0		0		0		0		0		0		
7.06	0		0		0		0		0		0		
7.08	0		0		0		0		0		0		
7.1	0		0		0		0		0		0		
7.12	0		0		0		0		0		0		
7.14	0		0		0		0		0		0		
7.16	0		0		0		0		0		0		
7.18	0		0		0		0		0		0		
7.2	0		0		0		0		0		0		
7.22	0		0		0		0		0		0		
7.24	0		0		0		0		0		0		
7.26	0		0		0		0		0		0		
7.28	0		0		0		0		0		0		
7.3	0		0		0		0		0		0		
7.32	0		0		0		0		0		0		
7.34	0		0		0		0		0		0		
7.36	0		0		0		0		0		0		
7.38	0		0		0		0		0		0		
7.4	0		0		0		0		0		0		
7.42	0		0		0		0		0		0		
7.44	0		0		0		0		0		0		
7.46	0		0		0		0		0		0		
7.48	0		0		0		0		0		0		
7.5	0		0		0		0		0		0		
7.52	0		0		0		0		0		0		
7.54	0		0		0		0		0		0		
7.56	0		0		0		0		0		0		
7.58	0		0		0		0		0		0		
7.6	0		0		0		0		0		0		
7.62	0		0		0		0		0		0		
7.64	0		0		0		0		0		0		
7.66	0		0		0		0		0		0		
7.68	0		0		0		0		0		0		
7.7	0		0		0		0		0		0		
7.72	0		0		0		0		0		0		
7.74	0		0		0		0		0		0		
7.76	0		0		0		0		0		0		
7.78	0		0		0		0		0		0		
7.8	0		0		0		0		0		0		
7.82	0		0		0		0		0		0		
7.84	0		0		0		0		0		0		
7.86	0		0		0		0		0		0		
7.88	0		0		0		0		0		0		
7.9	0		0		0		0		0		0		
7.92	0		0		0		0		0		0		
7.94	0		0		0		0		0		0		
7.96	0		0		0		0		0		0		
7.98	0		0		0		0		0		0		
8	0		0		0		0		0		0		
8.02	0		0		0		0		0		0		
8.04	0		0		0		0		0		0		
8.06	0		0		0		0		0		0		
8.08	0		0		0		0		0		0		
8.1	0		0		0		0		0		0		
8.12	0		0		0		0		0		0		
8.14	0		0		0		0		0		0		
8.16	0		0		0		0		0		0		
8.18	0		0		0		0		0		0		
8.2	0		0		0		0		0		0		
8.22	0		0		0		0		0		0		
8.24	0		0		0		0		0		0		
8.26	0		0		0		0		0		0		
8.28	0		0		0		0		0		0		
8.3	0		0		0		0		0		0		
8.32	0		0		0		0		0		0		
8.34	0		0		0		0		0		0		
8.36	0		0		0		0		0		0		
8.38	0		0		0		0		0		0		
8.4	0		0		0		0		0		0		
8.42	0		0		0		0		0		0		
8.44	0		0		0		0		0		0		
8.46	0		0		0		0		0		0		
8.48	0		0		0		0		0		0		
8.5	0		0		0		0		0		0		
8.52	0		0		0		0		0		0		
8.54	0		0		0		0		0		0		
8.56	0		0		0		0		0		0		
8.58	0		0		0		0		0		0		
8.6	0		0		0		0		0		0		
8.62	0		0		0		0		0		0		
8.64	0		0		0		0		0		0		
8.66	0		0		0		0		0		0		
8.68	0		0		0		0		0		0		
8.7	0		0		0		0		0		0		
8.72	0		0		0		0		0		0		
8.74	0		0		0		0		0		0		
8.76	0		0		0		0		0		0		
8.78	0		0		0		0		0		0		
8.8	0		0		0		0		0		0		
8.82	0		0		0		0		0		0		
8.84	0		0		0		0		0		0		
8.86	0		0		0		0		0		0		
8.88	0		0		0		0		0		0		
8.9	0		0		0		0		0		0		
8.92	0		0		0		0		0		0		
8.94	0		0		0		0		0		0		
8.96	0		0		0		0		0		0		
8.98	0		0		0		0		0		0		
